1	0.0511876	0.00013812	-0.000135982	4.68456e-05	3.4691e-06	5.28817e-08	7.90213e-05	0.000133713	0.000126556	1.1346e-06	
2	0.054045	0.000128412	-0.000124963	3.79115e-05	3.57033e-06	4.40061e-08	0.000336013	9.63384e-05	0.000144099	9.64181e-07	
5	0.0602769	0.000187426	-5.10268e-05	3.18416e-05	3.6974e-06	3.73605e-08	1.376e-05	0.000154194	0.000215683	1.38972e-06	
8	0.0627601	0.000210628	-0.000128919	2.89778e-05	3.87301e-06	4.43288e-08	6.98946e-06	0.000278243	0.000313736	3.31042e-06	
10	0.0645868	0.000359871	-0.000139528	5.96687e-05	4.12264e-06	6.93104e-08	-0.000300473	0.000615775	0.000415737	9.50013e-06	
12	0.0653172	0.000467971	-0.000238419	7.77847e-05	4.46258e-06	1.14409e-07	0.000560127	0.000884976	0.00054588	1.68076e-05	
15	0.0701601	0.000197981	-0.000104655	0.000108642	6.75483e-06	1.9641e-07	0.00129069	0.00201919	0.00203971	8.86419e-05	
18	0.0756666	0.000239686	0.000505935	0.000170136	1.00908e-05	3.5642e-07	0.0144135	0.0045183	0.00568264	0.000358975	
20	0.0768724	0.000330855	-0.00174863	0.000186017	1.30494e-05	4.48894e-07	0.0407885	0.00418115	0.0060539	0.000880636	
25	0.0785849	0.00029348	0.000773881	0.000257163	1.34388e-05	5.3888e-07	0.00122612	0.00674886	0.00765493	0.001034748	
30	0.0789354	0.000285177	-0.00022483	0.00027441	1.34351e-05	6.08994e-07	0.00227391	0.00823595	0.0101265	0.001351626	


