0.001 0.0001189533786970197 9.622259310720414e-08 8.896973145246726e-08 3.9187417754529404e-10 0.0 0.0 1.0946346 1.5238771897723813 0.0 0.0
0.002 0.00011958163905220474 9.759462069338913e-08 9.590366373780795e-08 5.797807907113679e-10 0.0 0.0 1.1415054 1.496281627275494 0.0 0.0
0.005 0.00012116475739576642 9.865718558020304e-08 1.1527031546437631e-07 9.652274123809424e-10 -4.49954 1.6121983985928223 1.7816944 1.664127132722418 0.0 0.0
0.01 0.00012382097050664525 1.1443680286744581e-07 1.498807786229237e-07 1.2588895711135393e-09 -8.71536136323292 2.3087911137844874 3.1107676532900324 1.5917827480515445 0.0 0.0
0.015 0.00012662562130228883 1.1793213446869297e-07 1.8897818003157845e-07 1.6457966621591592e-09 -16.935393333422954 2.5018106225341996 1.2376099 1.617691560658913 0.0 0.0
0.02 0.00012936978698330632 1.186019137524668e-07 2.2791741745323276e-07 1.7871257528800916e-09 -23.08285 2.786653069144981 0.7251849 1.5120840181728323 0.0 0.0
0.025 0.0001322993695689213 1.4290657347919252e-07 2.7021579759430764e-07 2.224364160524908e-09 -28.650835598265413 2.7145472895315064 3.9175612353808194 1.596700198147586 0.0 0.0
0.03 0.00013512350887789256 1.419164671045845e-07 3.112534343997515e-07 2.274226778254772e-09 -40.14302999792406 2.4489078561274975 1.0739059 1.5893081477513384 0.0 0.0
0.035 0.00013825734920200274 1.4030586717007395e-07 3.5911948208912155e-07 3.0713087873509537e-09 -51.02537299920649 3.2422793404569483 0.7215733700616227 1.6773870282704284 0.0 0.0
0.04 0.0001414053906474159 1.7469464015555888e-07 4.1102523407317583e-07 3.726513492882771e-09 -48.75586161592521 2.858207121502707 0.5280646162046361 1.5780698528109636 0.0 0.0
0.045 0.0001445127869859733 1.6653380903066952e-07 4.611053079347785e-07 3.2877131235593762e-09 -55.80155443284745 2.3365157182119134 2.73253355 1.7609397768223747 0.0 0.0
0.05 0.00014736095858404854 1.8275501133786512e-07 5.046258478323847e-07 3.842464062835539e-09 -66.046957 2.8294012586457904 2.99025475 1.6099426310450835 0.0 0.0
0.06 0.00015427537870336443 2.0418085579936844e-07 6.306151388247313e-07 5.005692560034709e-09 -75.56853749982436 2.507565994724023 0.9479492 1.4444327362054603 0.0 0.0
0.07 0.00016100829586403575 2.1302914358527566e-07 7.608329918417904e-07 5.454126789809651e-09 -91.15164856683536 2.6755901549411236 2.46581895 1.4571671614365755 0.0 0.0
0.08 0.00016884781065787258 2.2558935737056621e-07 9.302375253125426e-07 6.689117076070923e-09 -109.63550125 2.7280554479514385 2.47904985 1.4486788010398912 0.0 0.0
0.09 0.0001764535347150151 2.5941454876997894e-07 1.101269079246465e-06 7.973674096037169e-09 -119.52246979031253 2.813005557291493 1.2906317877330686 1.638488700508575 0.0 0.0
0.1 0.00018485031953524602 2.4775820908722645e-07 1.2965792920846233e-06 8.763063164580099e-09 -134.8608515 2.6178247763801634 3.6995832 1.3176587649824647 0.0 0.0
0.12 0.0002018690769331232 2.990344972464039e-07 1.7445990308720372e-06 1.123203805893242e-08 -169.5264304148502 2.9166499821419625 -0.7977754 1.5357391004765588 0.0 0.0
0.15 0.0002316791061946524 4.1115314894298125e-07 2.7021474884039282e-06 2.079488875479072e-08 -201.06626799613454 2.984736808013732 -0.9092122165948878 1.7260268317502858 0.0 0.0
0.2 0.0002934562189453518 5.351417402490177e-07 5.333769445700046e-06 3.3471680143690094e-08 -290.0026775 2.6759568763959614 0.3185591 1.3016117174256805 0.0 0.0
0.25 0.000382268508886131 8.02661488329565e-07 1.0991322141204917e-05 8.445050297108004e-08 -381.8258772 2.3951430621525587 0.4299426 1.4812095434409533 0.0 0.0
0.3 0.000509542378716662 1.2393067061755507e-06 2.345896006811157e-05 2.0270766019690766e-07 -480.1167194998419 2.4877171970911087 1.10373225 1.4288054535794747 0.0 0.0
0.32 0.0005823488816794451 1.311082841680712e-06 3.326598195201539e-05 2.6710692041218626e-07 -527.6038928125 2.4634026456149494 0.69825125 1.3784571740721885 0.0 0.0
0.34 0.0006626420438780638 1.6976876195436145e-06 4.680568231503838e-05 3.966858695319473e-07 -567.9717252775093 2.342311473068768 0.10414187343591409 1.375301827578573 0.0 0.0
0.36 0.0007674323077215459 2.0378239706157825e-06 6.791006388627627e-05 5.755936375149872e-07 -621.5326406947796 2.296324201347744 0.7021228 1.1440275758808136 0.0 0.0
0.38 0.0008998618639379522 2.653021341659986e-06 0.00010290363307098385 9.64671765503862e-07 -669.1308355272735 2.2039004225221364 0.7921376 1.272010463434294 0.0 0.0
0.4 0.0010768608521069538 3.2357342739274082e-06 0.0001628829194876278 1.6334991170117822e-06 -722.455918 2.436915871696166 3.27116 1.154571803279989 0.0008939375 0.000447743297078814
0.42 0.0013188283787372017 4.418904116564334e-06 0.00027398398840260704 2.8294750099220255e-06 -785.1222866650793 2.3549381166228445 1.8064705 1.1476292834833126 0.000869702380952702 0.0004523883658495093
0.44 0.0016690229882115406 5.8939961697789575e-06 0.0005014953874807077 5.526712092465104e-06 -849.6815902256212 2.229083357061025 -1.2598572 0.954742329343417 0.001976193181817609 0.0007566751647384058
0.45 0.0019052773491846095 6.676826130861231e-06 0.0006974647148529828 7.195993140138074e-06 -882.1654737780268 2.185137768801996 0.6232441 0.9319317106765563 0.0021184444444426825 0.0005841848170240144
0.455 0.002057060207186588 8.349903860900257e-06 0.0008519243912278775 1.0486678054321789e-05 -906.3740013189139 2.030561719337431 0.04737055 0.8536390012680932 0.005137637362631943 0.0009369504232779439
