24	0.00478916 0.000278728 4.372e-05 0.00132607	0.980304
25	0.00479802 0.000431165 4.48504e-05 0.0014407	0.977237
26	0.00527372 0.00100658 4.66453e-05 0.00198435	0.971885
29	0.855844 0.901207 0.000231563 0.876258	0.00175273
30	0.898802 0.957361 0.000256563 0.925342	0.000302139
31	0.894608 0.966944 0.000295351 0.927427	0.000147012
32	0.877062 0.966719 0.000358358 0.917702	0.0001209
33	0.847878 0.960085 0.000465847 0.898592	0.000142569
34	0.8022 0.943818 0.000662108 0.865828	0.000228019
35	0.727284 0.905262 0.00105513 0.806314	0.000487811
36	0.59124 0.80191 0.00194815 0.682266	0.0013175
37	0.357422 0.554108 0.00414117 0.435556	0.00270648
38	0.167306 0.33632 0.00873389 0.223946	0.00137586
39	0.0717721 0.259385 0.0170313 0.128463	0.000143159
40	0.0328876 0.211032 0.0229242 0.0832084	8.86354e-06
