#n_h: 3
#T/J: 0.2
0.00481321 0.0138565  0.02124921 0.02483513 0.02561382 0.02561652 0.02551964 0.02556197 0.02555885 0.02554823 0.02557811 0.0255678 0.02557814 0.02560978 0.02556303 0.02560265 0.02560541 0.02560612 0.02558034 0.02556897 0.02554855 0.02549703 0.02551817 0.02562385 0.02558751 0.02482062 0.02124304 0.01387737 0.00483133
0.00018203 0.00016802 0.00013587 0.00016961 0.00017923 0.00015333 0.00015694 0.00014629 0.0001522  0.00015352 0.000108   0.00017676 0.00015723 0.00020264 0.00018288 0.00014623 0.00019023 0.00013996 0.00014961 0.00014328 0.00013802 0.00014728 0.00013615 0.00014385 0.00019649 0.00017144 0.00018293 0.00018753 0.00013954

#n_h: 5
#T/J: 1.0
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.00745171 0.01834677 0.02362088 0.02469567 0.02472723 0.02473077 0.02472106 0.0246835  0.02469719 0.02471488 0.02472184 0.02473671 0.02468155 0.02472014 0.02473579 0.02472251 0.02471645 0.02468695 0.0246758  0.02468998 0.02469489 0.02468677 0.02471362 0.02471121 0.02474094 0.02468471 0.02356155 0.01834996 0.00748712
0.00015287 0.00019521 0.00018904 0.00017659 0.00014663 0.0001305 0.00016277 0.00014911 0.00016308 0.00018029 0.00016302 0.0001278 0.00020588 0.00016429 0.00016118 0.00017929 0.00014665 0.00015957 0.00014351 0.0001552  0.00014936 0.00016979 0.00018774 0.00014254 0.00013728 0.00018659 0.00018344 0.00021691 0.00014792

#n_h: 6
#T/J: 0.2
 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
