# Sinf :  66.78384165201751 0.6678384165201752
# T_low, indx_low, gamma, dE_low, S_low :  0.4 9 0.4 0.442679 0.004533032960000001 0.014165728
# phi2:  0.2575237568293452 0.29118125
# phi3:  0.16483976226239386 0.2133234375
# T_up, indx_up, alpha, E_up, I_up, S_up :  5 76 5.0 0.2575237568293452 -0.05809834185636479 0.005590047835953287 0.6622483686842219
# Low temperature:
0.4 0.014165728
0.40765829145728644 0.01604424159083816
0.4153165829145729 0.017554851297404573
0.4229748743718593 0.01820731702410027
0.43063316582914574 0.018675459255370612
0.43829145728643215 0.02010199934221228
0.4459497487437186 0.02260059881293141
0.45360804020100504 0.025109572884118813
0.46126633165829145 0.02670120448142625
0.4689246231155779 0.02768026398859844
0.47658291457286434 0.028807193124180116
0.48424120603015075 0.030625155505368883
0.4918994974874372 0.03289115285186172
0.49955778894472364 0.03518698148702011
0.50721608040201 0.03717048264970764
0.5148743718592965 0.03889011907833526
0.522532663316583 0.04051342131470237
0.5301909547738693 0.04220717535663803
0.5378492462311558 0.044060853279705395
0.5455075376884422 0.04608613764533228
0.5531658291457286 0.048291350332568664
0.5608241206030151 0.05068104115973501
0.5684824120603016 0.05321956072467711
0.576140703517588 0.05584623082823249
0.5837989949748744 0.05849923663356546
0.5914572864321608 0.06111742689056355
0.5991155778894472 0.06368923237854121
0.6067738693467337 0.06626508702500475
0.6144321608040202 0.06889989799565191
0.6220904522613065 0.07164926063278544
0.629748743718593 0.07456520625209558
0.6374070351758794 0.07764139685378511
0.6450653266331658 0.08082820895133179
0.6527236180904523 0.08407443861240985
0.6603819095477388 0.08732827653798844
0.6680402010050251 0.09053739001733044
0.6756984924623115 0.09367188293353465
0.683356783919598 0.09675616823226951
0.6910150753768844 0.09982288072503875
0.6986733668341709 0.10290504914792675
0.7063316582914573 0.1060360961615984
0.7139899497487437 0.1092498383512993
0.7216482412060301 0.11257351453741195
0.7293065326633166 0.11600327128687149
0.736964824120603 0.11952636794952429
0.7446231155778895 0.12312991440901518
0.7522814070351759 0.1268008715334398
0.7599396984924623 0.13052605117534474
0.7675979899497487 0.13429211617172723
0.7752562814070352 0.13808689676348732
0.7829145728643216 0.14190827083056706
0.7905728643216081 0.14575884715404347
0.7982311557788945 0.14964129740682572
0.805889447236181 0.15355833003510014
0.8135477386934673 0.15751269025832992
0.8212060301507538 0.16150716006925556
0.8288643216080402 0.16554455823389455
0.8365226130653267 0.16962771347188238
0.8441809045226131 0.1737585393771079
0.8518391959798994 0.17793778386718567
0.8594974874371859 0.1821661253034687
0.8671557788944724 0.186444246011495
0.8748140703517588 0.19077283228098796
0.8824723618090453 0.195152574365856
0.8901306532663317 0.19958416648419275
0.897788944723618 0.20406830681827715
0.9054472361809045 0.20860569751457336
0.913105527638191 0.21319694663661903
0.9207638190954774 0.2178406441917447
0.9284221105527638 0.22253346901581653
0.9360804020100503 0.22727200304421677
0.9437386934673367 0.23205280449032092
0.9513969849246231 0.2368724078454975
0.9590552763819096 0.2417273238791085
0.966713567839196 0.24661403963850886
0.9743718592964824 0.2515290184490468
0.9820301507537689 0.2564686999140637
0.9896884422110553 0.2614294999148942
0.9973467336683417 0.26640781061086605
1.0050050251256282 0.27140013683867115
1.0126633165829144 0.2764046282027115
1.020321608040201 0.2814205429250238
1.0279798994974874 0.2864471616992038
1.0356381909547738 0.29148376741473586
1.0432964824120603 0.2965296451569921
1.0509547738693468 0.30158408220723276
1.0586130653266332 0.3066463680426062
1.0662713567839197 0.3117157943361487
1.0739296482412062 0.3167916549567848
1.0815879396984924 0.3218732459693267
1.089246231155779 0.3269598656344753
1.0969045226130654 0.3320508144088191
1.1045628140703516 0.33714539494483453
1.112221105527638 0.34224290883099984
1.1198793969849246 0.34734106345811466
1.127537688442211 0.35243338776193484
1.1351959798994975 0.357512703850699
1.142854271356784 0.36257179524973066
1.1505125628140704 0.3676034069014386
1.158170854271357 0.3726002451653164
1.1658291457286434 0.37755497781794256
1.1734874371859296 0.38246023405298074
1.181145728643216 0.38731305006039146
1.1888040201005026 0.392174391075537
1.1964623115577888 0.3971165509070653
1.2041206030150753 0.40192262996277656
1.2117788944723618 0.4063556254096084
1.2194371859296482 0.4108021659475088
1.2270954773869347 0.4156776921976111
1.2347537688442212 0.42066078023196407
1.2424120603015076 0.42535365190769225
1.250070351758794 0.4297895968048511
1.2577286432160806 0.4340886433724767
1.2653869346733668 0.43831531290430553
1.2730452261306533 0.4425119933825297
1.2807035175879395 0.4466793709610596
1.288361809045226 0.45080214043494116
1.2960201005025125 0.45484060882092037
1.303678391959799 0.45874959036501867
1.3113366834170854 0.4625445548222279
1.318994974874372 0.46627997833392315
1.3266532663316584 0.4699320791300209
1.3343115577889448 0.47337879401507693
1.3419698492462313 0.47659921393295723
1.3496281407035176 0.4798685947906217
1.357286432160804 0.4834516389542406
1.3649447236180905 0.4871130083213108
1.3726030150753767 0.49038222537426834
1.3802613065326632 0.49316719621830885
1.3879195979899497 0.4959316745998059
1.3955778894472362 0.49908808340494104
1.4032361809045226 0.5024769360374681
1.410894472361809 0.5057313989757282
1.4185527638190956 0.5086565286527251
1.426211055276382 0.5113372281439849
1.4338693467336685 0.5138800106477055
1.441527638190955 0.5163456753838099
1.449185929648241 0.5187673815091975
1.4568442211055275 0.5211797411554279
1.464502512562814 0.5236244407340523
1.4721608040201004 0.5261449197035706
1.4798190954773869 0.5287362310981829
1.4874773869346734 0.5312864284737426
1.4951356783919598 0.533669986914835
1.5027939698492463 0.5358322922775087
1.5104522613065328 0.5378277595159688
