#4	6	78	78	1.30476	0.00232825	0.131524	0.0221157	0.131548	0.0221096	0.525403	0.0884019	0.000676111	0.000150698	
#4	6	90	90	1.29935	0.00258439	1.19665e-05	9.35931e-06	4.54193e-05	2.2646e-05	5.70652e-05	2.42587e-05	5.70652e-05	2.42587e-05
#4	6	110	110	1.29434	0.00292397	0.0289129	0.0108736	0.0291089	0.0108934	0.115847	0.0435135	0.000196078	0.000140705	
#4	6	130	130	1.2924	0.00442812	0	0	0	0	0	0	0	0	
#4	6	150	150	1.29547	0.00373226	0	0	0	0	0	0	0	0	
#4	6	250	250	1.27236	0.00712124	0	0	0	0	0	0	0	0	

#4       6       30      30      1.31936 0.000881338     0.167546        0.00227107      0.167937        0.00226118      0.571805        0.00852803      0.0991595       0.000748018     
#4       6       50      50      1.31022 0.00171687      0.116886        0.0113779       0.117084        0.0114174       0.455651        0.0452193       0.0122871       0.00059172      
#4       6       70      70      1.30679 0.00372141      0.205596        0.0296193       0.201329        0.0293318       0.803495        0.118726        0.0017432       0.000217645     
#4       6       74      74      1.30352 0.00256599      0.0628388       0.0193931       0.0627726       0.0193686       0.250387        0.0775034       0.000836051     0.00016004      
#4       6       78      78      1.30429 0.00259855      0.0955132       0.0183399       0.0957734       0.0183638       0.381858        0.0733685       0.000597744     0.000180714     
#4       6       90      90      1.29989 0.00349738      5.72246e-06     5.74713e-06     6.0668e-05      3.51907e-05     6.61213e-05     3.55611e-05     6.61213e-05     3.55611e-05     
#4       6       110     110     1.29125 0.00369593      0       0       0       0       0       0       0       0       
#4       6       130     130     1.2924  0.00442812      0       0       0       0       0       0       0       0       
#4       6       130     131     1.28962 0.00786899      0       0       0       0       0       0       0       0       
#4       6       150     150     1.29547 0.00373226      0       0       0       0       0       0       0       0       
#4       6       250     250     1.27236 0.00712124      0       0       0       0       0       0       0       0       




