8		18.9809	0.537417	0.000001
16		18.9401	0.557997	0.000001
32		18.9161	0.582332	0.000001
64		18.7142	0.60498		0.000001
128		19.3843	0.623458	0.000001
256		20.0541	0.637126	0.000001
512		20.7353	0.646627	0.000001
1024		22.2936	0.653418	0.000001
2048		22.2276	0.658121	0.000001
4096		22.9986	0.661987	0.000001
8192		25.6101	0.664272	0.000001
16384		25.5821	0.666044	0.000001
32768		25.605	0.667424	0.000001
65536		25.75966049145683	0.6682166015696768		0.00001
100000		26.35822364017995	0.6686533093329194		0.00001
200000		26.47032521030152	0.6692975610727039		0.00001
500000		26.45336594451734	0.669675768433456		0.00002
1000000		27.17987080070017	0.6700290824718855		0.00003
2000000		27.17911844902141	0.6702137210334429		0.00006
5000000		27.16139999121303	0.6701441149012717		0.0002
10000000	27.1805			0.670564			0.0004
