#8	3.14159	2.60921	0.0145711	0.221231	0.000382106	1.65369	0.00772957	7.87717	0.0433285	0.648621	0.00132398
8	3.14159	2.62119	0.020674	0.221737	0.000565455	1.65825	0.0109305	7.90833	0.0614679	0.650553	0.00181137
#14	3.14159	3.4331	0.0753266	0.220757	0.000871512	2.13644	0.0418593	10.4546	0.229327	0.684523	0.00511568
14	3.14159	3.38551	0.0730599	0.221868	0.000777762	2.10764	0.0402368	10.303	0.221488	0.683357	0.00516509
#22	3.14159	4.69602	0.155973	0.221359	0.00132124	2.86022	0.0868945	14.3571	0.475353	0.755419	0.0104581
22	3.14159	3.99811	0.136266	0.223147	0.00129026	2.47089	0.0757822	12.2249	0.415028	0.713085	0.00914577
#30	3.14159	5.12859	0.177055	0.221331	0.000901687	3.11248	0.0996597	15.7044	0.542233	0.777708	0.0112217
30	3.14159	5.16399	0.124197	0.220547	0.000523945	3.13196	0.0700286	15.8116	0.380687	0.780272	0.00777929
#42	3.14159	4.88772	0.26492		0.223248	0.00123577	2.99148	0.149137	15.0023	0.811473	0.756138	0.0166883
42	3.14159	6.05664	0.181925	0.221029	0.000570665	3.6371	0.10228	18.5533	0.556926	0.834237	0.0114989
#50	3.14159	7.55383	0.342089	0.222637	0.00149655	4.48627	0.192703	23.1535	1.04812	0.926714	0.0215398
50	3.14159	6.82797	0.290116	0.221286	0.000978281	4.0845	0.163302	20.9476	0.88873	0.877369	0.0181261
62	3.14159	7.83797	0.447988	0.220654	0.00210096	4.67648	0.252604	24.0947	1.37298	0.934208	0.0282727
70	3.14159	9.01917	0.399221	0.221458	0.00224781	5.3221	0.222982	27.6707	1.21808	1.0118	0.0263625
#70	3.14159	6.20008	0.363778	0.221465	0.000813016	3.73442	0.205503	19.0303	1.11601	0.838696	0.0225671
#110	3.14159	15.0958	0.545976	0.225047	0.00206936	8.79557	0.307192	46.4079	1.67158	1.37485	0.0348025
#130	3.14159	14.8017	0.519686	0.222443	0.00316055	8.64197	0.289443	45.5376	1.5834	1.34965	0.0348013


##30	3.14159	4.09916	0.122609	0.230156	0.001121067	250.692	35.2281	i	260.91	35.023		248.672	35.2539
#30	3.14159	5.21393	0.0920376	0.220031	0.000368536	3.16432	0.0516373	15.9744	0.281502	0.78211		0.00585367
#42	3.14159	6.19681	0.28692		0.218551	0.00145239	3.73478	0.160221	19.0259	0.875614	0.837285	0.01870980
##50	3.14159	6.25209	0.216926	0.219675	0.00064474	3.75936	0.122394	19.1812	0.665085	0.841674	0.0135648
##50	3.14159 6.34991 0.23965 	0.220098        0.000616369     3.81317 0.135071        19.4779 0.734464        0.848289        0.0149799
#50	3.14159	6.51548	0.197969	0.220409	0.000482466	3.90677	0.111613	19.9851	0.606789	0.859404	0.0123818
#62	3.14159	9.60192	0.389316	0.221439	0.00236684	5.64039	0.217587	29.4312	1.18834		1.05342		0.025511
##70	3.14159	7.54226	0.420229	0.22081		0.00107005	4.49789	0.237155	23.1626	1.28859		0.917697	0.026202
#70	3.14159	6.62528	0.381646	0.221639	0.000818554	3.97363	0.215716	20.3343	1.17107		0.863486	0.0236576
##90	3.14159	11.4759	0.501444	0.220942	0.00108357	6.71212	0.281427	35.2104	1.53392		1.16571		0.0318234
#90	3.14159 11.241  0.46334 	0.221059        0.00101563      6.57102 0.259906        34.4707 1.41704 1.15325 0.0294591
##110	3.14159	7.66607	0.467991	0.221258	0.00207878	4.56327	0.263924	23.5309	1.43453		0.927731	0.0293364
#110	3.14159 6.81472 0.416835        0.221945        0.00190483      4.08316 0.235178        20.9209 1.278   0.874866        0.0260575
##130	3.14159	16.2833	0.845747	0.219261	0.00464976	9.47652	0.468416	50.0768	2.57091		1.44277		0.0573557
#130	3.14159 16.1416 0.729534        0.218014        0.00241645      9.38449 0.408842        49.6122 2.22999 1.44001 0.0467778
##150	3.14159	2.6453	0.281282	0.186807	0.0108313	1.81298	0.161464	8.3158	0.858966	0.60076		0.0270893

#30	3.14159	5.21393	0.0920376	0.220031	0.000368536	3.16432	0.0516373	15.9744	0.281502	0.78211	0.00585367
#50	3.14159	6.76139	0.271286	0.219229	0.00122733	4.04804	0.152809	20.7464	0.831143	0.87252	0.0170951
#70	3.14159	9.59718	0.488765	0.219243	0.00180342	5.67036	0.27637		29.493	1.49981		1.04206	0.0304981
#90	3.14159	10.0578	0.560576	0.222202	0.00250984	5.90734	0.310939	30.8514	1.70555		1.07881	0.0374983
#110	3.14159	11.5133	0.546885	0.219229	0.00326485	6.79172	0.305127	35.4608	1.66794		1.14925	0.0361509
#130	3.14159 16.2833 0.845747        0.219261        0.00464976      9.47652 0.468416        50.0768 2.57091 	1.44277 0.0573557
#150	3.14159	2.6453	0.281282	0.186807	0.0108313	1.81298	0.161464	8.3158	0.858966	0.60076	0.0270893
#30	3.14159	5.21393	0.0920376	0.220031	0.000368536	3.16432	0.0516373	15.9744	0.281502	0.78211	0.00585367
#50	3.14159	6.23166	0.220009	0.220356	0.00057078	3.74709	0.124372	19.1156	0.675198	0.84188	0.0135804
#70	3.14159	6.57268	0.370914	0.219698	0.00173915	3.93998	0.209367	20.1611	1.13727	0.864199	0.0233545
#90	3.14159	5.4048	0.325532	0.221668	0.000863579	3.27273	0.18323	16.5631	0.997186	0.791969	0.0203564
